feature,ticker,type
AAPL_SMA_20,AAPL,SMA
AAPL_EMA_20,AAPL,EMA
AAPL_RSI_14,AAPL,RSI
AAPL_BB_upper,AAPL,Bollinger
AAPL_BB_lower,AAPL,Bollinger
AAPL_MACD,AAPL,MACD
AAPL_MACD_signal,AAPL,MACD_signal
AAPL_Volatility_20,AAPL,Volatility
AAPL_Return_1d,AAPL,Return
AAPL_Return_5d,AAPL,Return
AAPL_Return_10d,AAPL,Return
AAPL_Momentum_5d,AAPL,Momentum
MSFT_SMA_20,MSFT,SMA
MSFT_EMA_20,MSFT,EMA
MSFT_RSI_14,MSFT,RSI
MSFT_BB_upper,MSFT,Bollinger
MSFT_BB_lower,MSFT,Bollinger
MSFT_MACD,MSFT,MACD
MSFT_MACD_signal,MSFT,MACD_signal
MSFT_Volatility_20,MSFT,Volatility
MSFT_Return_1d,MSFT,Return
MSFT_Return_5d,MSFT,Return
MSFT_Return_10d,MSFT,Return
MSFT_Momentum_5d,MSFT,Momentum
GOOGL_SMA_20,GOOGL,SMA
GOOGL_EMA_20,GOOGL,EMA
GOOGL_RSI_14,GOOGL,RSI
GOOGL_BB_upper,GOOGL,Bollinger
GOOGL_BB_lower,GOOGL,Bollinger
GOOGL_MACD,GOOGL,MACD
GOOGL_MACD_signal,GOOGL,MACD_signal
GOOGL_Volatility_20,GOOGL,Volatility
GOOGL_Return_1d,GOOGL,Return
GOOGL_Return_5d,GOOGL,Return
GOOGL_Return_10d,GOOGL,Return
GOOGL_Momentum_5d,GOOGL,Momentum
AMZN_SMA_20,AMZN,SMA
AMZN_EMA_20,AMZN,EMA
AMZN_RSI_14,AMZN,RSI
AMZN_BB_upper,AMZN,Bollinger
AMZN_BB_lower,AMZN,Bollinger
AMZN_MACD,AMZN,MACD
AMZN_MACD_signal,AMZN,MACD_signal
AMZN_Volatility_20,AMZN,Volatility
AMZN_Return_1d,AMZN,Return
AMZN_Return_5d,AMZN,Return
AMZN_Return_10d,AMZN,Return
AMZN_Momentum_5d,AMZN,Momentum
TSLA_SMA_20,TSLA,SMA
TSLA_EMA_20,TSLA,EMA
TSLA_RSI_14,TSLA,RSI
TSLA_BB_upper,TSLA,Bollinger
TSLA_BB_lower,TSLA,Bollinger
TSLA_MACD,TSLA,MACD
TSLA_MACD_signal,TSLA,MACD_signal
TSLA_Volatility_20,TSLA,Volatility
TSLA_Return_1d,TSLA,Return
TSLA_Return_5d,TSLA,Return
TSLA_Return_10d,TSLA,Return
TSLA_Momentum_5d,TSLA,Momentum
SPY_SMA_20,SPY,SMA
SPY_EMA_20,SPY,EMA
SPY_RSI_14,SPY,RSI
SPY_BB_upper,SPY,Bollinger
SPY_BB_lower,SPY,Bollinger
SPY_MACD,SPY,MACD
SPY_MACD_signal,SPY,MACD_signal
SPY_Volatility_20,SPY,Volatility
SPY_Return_1d,SPY,Return
SPY_Return_5d,SPY,Return
SPY_Return_10d,SPY,Return
SPY_Momentum_5d,SPY,Momentum
^VIX_SMA_20,^VIX,SMA
^VIX_EMA_20,^VIX,EMA
^VIX_RSI_14,^VIX,RSI
^VIX_BB_upper,^VIX,Bollinger
^VIX_BB_lower,^VIX,Bollinger
^VIX_MACD,^VIX,MACD
^VIX_MACD_signal,^VIX,MACD_signal
^VIX_Volatility_20,^VIX,Volatility
^VIX_Return_1d,^VIX,Return
^VIX_Return_5d,^VIX,Return
^VIX_Return_10d,^VIX,Return
^VIX_Momentum_5d,^VIX,Momentum
