date,ticker,sentiment_score,sentiment_volatility,article_count,positive_score,negative_score,positive_ratio
2025-07-15,AAPL,0.4853,0.3957,16,0.1346,0.0202,0.8125
2025-07-15,SPY,0.1343,0.6218,12,0.0948,0.0648,0.6667
2025-07-16,AAPL,0.53,0.5169,21,0.1459,0.0291,0.8571
2025-07-16,SPY,0.1245,0.4725,22,0.0829,0.0611,0.5
2025-07-17,AAPL,0.5997,0.357,18,0.1423,0.009,0.8333
2025-07-17,SPY,0.3309,0.4526,52,0.106,0.0368,0.6731
2025-07-18,AAPL,0.6394,0.5337,15,0.1825,0.0321,0.8667
2025-07-18,SPY,0.2977,0.5952,43,0.1216,0.0427,0.6279
2025-07-19,AAPL,0.8382,0.129,12,0.1946,0.0058,1.0
2025-07-19,SPY,0.5054,0.4468,21,0.1388,0.0237,0.8571
2025-07-20,AAPL,0.5494,0.4383,18,0.1401,0.0216,0.8333
2025-07-20,SPY,0.6232,0.4869,44,0.1693,0.031,0.8864
2025-07-21,AAPL,0.6659,0.3212,13,0.1597,0.0157,0.8462
2025-07-21,SPY,0.46,0.5099,98,0.1395,0.0304,0.7347
2025-07-22,AAPL,0.6528,0.5194,15,0.1941,0.0194,0.8667
2025-07-22,SPY,0.3428,0.4029,30,0.0993,0.0249,0.6667
2025-07-23,AAPL,0.5983,0.4145,18,0.1398,0.0067,0.7778
2025-07-23,SPY,0.4305,0.4373,48,0.1222,0.0255,0.75
2025-07-24,AAPL,0.4782,0.6364,14,0.1783,0.0481,0.7857
2025-07-24,SPY,0.4117,0.4233,44,0.1188,0.0313,0.75
2025-07-25,AAPL,0.4887,0.5205,18,0.1358,0.0314,0.7222
2025-07-25,SPY,0.4757,0.4389,33,0.1325,0.0357,0.8485
2025-07-26,AAPL,0.6307,0.4918,14,0.1656,0.0193,0.8571
2025-07-26,SPY,0.4035,0.5664,12,0.1362,0.0427,0.6667
2025-07-27,AAPL,0.5493,0.3718,19,0.1255,0.0127,0.7895
2025-07-27,SPY,0.3264,0.6957,17,0.1317,0.0536,0.5882
2025-07-28,AAPL,0.4809,0.4618,35,0.1449,0.0376,0.8286
2025-07-28,SPY,0.5604,0.4766,113,0.1606,0.0338,0.8319
2025-07-29,AAPL,0.637,0.3579,23,0.1601,0.0112,0.8696
2025-07-29,SPY,0.3123,0.5359,22,0.116,0.0453,0.5455
2025-07-30,AAPL,0.1645,0.4576,23,0.0713,0.0421,0.5652
2025-07-30,SPY,0.2878,0.396,14,0.1083,0.0537,0.7143
2025-07-31,AAPL,0.1029,0.3435,20,0.0444,0.027,0.3
2025-07-31,SPY,0.3425,0.5068,51,0.115,0.0399,0.7059
2025-08-01,AAPL,-0.2686,0.5864,11,0.0885,0.1131,0.1818
2025-08-01,SPY,0.1587,0.5967,43,0.1085,0.0751,0.6279
2025-08-02,AAPL,0.7626,0.0941,4,0.1658,0.012,1.0
2025-08-02,SPY,0.5149,0.5333,27,0.1474,0.033,0.7778
2025-08-03,AAPL,0.7076,0.3058,28,0.1637,0.0181,0.9643
2025-08-03,SPY,0.5199,0.5252,28,0.1508,0.0376,0.7857
2025-08-04,AAPL,0.365,0.394,11,0.0871,0.0285,0.9091
2025-08-04,SPY,0.4389,0.4969,119,0.1379,0.0373,0.7311
2025-08-05,AAPL,0.465,0.5721,17,0.1529,0.0466,0.7647
2025-08-05,SPY,0.167,0.5249,17,0.1275,0.0784,0.5882
2025-08-06,AAPL,0.5731,0.3247,25,0.1263,0.0115,0.84
2025-08-06,SPY,0.2396,0.3577,13,0.0918,0.0444,0.6154
2025-08-07,AAPL,0.5712,0.5247,16,0.166,0.0306,0.75
2025-08-07,SPY,0.089,0.4857,27,0.0825,0.0661,0.5556
2025-08-08,AAPL,0.7655,0.2475,15,0.1855,0.0067,1.0
2025-08-08,SPY,0.3885,0.4733,51,0.1341,0.037,0.7647
2025-08-09,AAPL,0.6843,0.3827,20,0.172,0.0235,0.95
2025-08-09,SPY,0.3174,0.6407,14,0.1298,0.0724,0.6429
2025-08-10,AAPL,0.4712,0.3251,10,0.1039,0.0182,0.8
2025-08-10,SPY,0.6569,0.4027,75,0.1574,0.0233,0.8667
2025-08-11,AAPL,0.4275,0.5911,19,0.1266,0.0399,0.7368
2025-08-11,SPY,0.6122,0.3969,92,0.1623,0.0257,0.837
2025-08-12,AAPL,0.6258,0.3328,15,0.1502,0.0244,0.9333
2025-08-12,SPY,0.567,0.4141,103,0.151,0.0226,0.8447
2025-08-13,SPY,-0.2132,0.0849,2,0.0,0.069,0.0
